,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,-0.3125,1.0,0.0,0.5,0.0,0.5,0.0,-1.0,1.0,1.0,0.0,-991.0,1.0,1.0,-1.5517242,-1.9685025,2.1590924,-1.1472718,-1.8879237
1,0.16666667,-0.25,-0.2857143,1.0,0.75,0.0,0.5,0.0,-1.0,0.0,-1.0,-0.5,-987.0,1.0,1.0,-1.0,-1.3866458,-2.2272737,-0.98635864,-1.0
2,0.8333333,0.125,-0.14285715,0.0,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0011136378,0.0
3,0.0,0.6875,-0.2857143,0.0,0.0,0.0,0.5,0.0,-1.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.75862074,0.76447076,-2.977274,-1.0771159,-2.4744303
4,-1.5,-0.25,0.71428573,1.0,-0.75,0.0,-0.5,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00027837628,0.0
5,0.0,-0.1875,-0.2857143,0.0,0.75,0.0,0.5,0.0,-1.0,-1.5,0.5,1.5,0.0,0.0,0.0,0.10344826,-0.09572219,-1.4318187,0.02951001,0.40370116
6,0.8333333,1.0,0.42857143,0.0,-0.75,0.0,0.5,0.0,-1.0,-2.5,-1.0,-0.5,-996.0,1.0,1.0,-1.3793104,-2.258177,1.1363647,-1.1099666,-1.249183
7,-1.6666666,0.625,0.71428573,0.0,0.0,0.0,-0.5,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-1.6666666,0.8125,0.71428573,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8333333,1.5,0.42857143,0.0,1.0,0.0,-0.5,0.0,-1.0,-3.0,1.0,-0.5,0.0,1.0,-1.0,-1.0,-1.1574295,-2.4318187,-0.94961023,-1.0
10,0.8333333,0.8125,-0.14285715,0.0,-0.25,0.0,0.5,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0008352616,0.0
11,-1.8333334,0.1875,0.2857143,-1.0,1.0,0.0,0.5,0.0,-1.0,-2.5,1.0,0.0,-995.0,1.0,1.0,-1.3793104,-2.258177,1.1363647,-1.1071827,-1.249183
12,0.0,0.5625,-0.2857143,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-1.8333334,1.25,0.71428573,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.8333333,0.625,-0.14285715,0.0,-0.75,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.10344826,0.5931855,-1.2272729,0.028396504,0.40370116
15,0.0,0.6875,1.0,0.0,0.75,0.0,0.5,0.0,-1.0,-0.5,-1.0,-0.5,0.0,0.0,0.0,-1.0,-0.78714734,0.36363706,-1.1701003,-1.9836779
16,1.0,0.8125,-0.14285715,1.0,-0.25,1.0,0.5,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.8333333,-0.0625,-0.14285715,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00055675255,0.0
18,1.0,-0.625,-0.14285715,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027837628,0.0
19,-3.3,-0.1875,1.1428572,0.0,0.0,0.0,0.5,0.0,-1.0,1.0,-0.5,-0.5,-996.0,1.0,1.0,-0.75862074,0.76447076,-2.977274,-1.064588,-2.4744303
20,0.0,0.125,-0.2857143,0.0,0.75,0.0,-0.5,0.0,-1.0,-3.0,-1.0,-0.5,0.0,0.0,0.0,-1.0,-1.1574295,-2.4318187,-0.96074617,-1.0
21,-1.6666666,-0.5,0.71428573,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00027837628,0.0
22,0.0,0.5625,-0.2857143,0.0,0.75,0.0,0.5,2.0,-1.0,-2.5,1.0,-0.5,-999.0,3.0,1.0,-0.96551734,0.041557766,-0.4318179,-1.1013364,-2.169751
23,0.8333333,1.0,0.42857143,0.0,-0.5,1.0,-0.5,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.16666667,-0.4375,1.0,1.0,0.75,0.0,-0.5,0.0,-1.0,-3.0,0.5,1.0,0.0,0.0,0.0,-1.0,-1.1574295,-2.4318187,-0.9473831,-1.0
